,movie_imdb_id,movie_name,movie_rating,movie_vote,movie_year
653,33870,The Maltese Falcon,8.4,52255,1941
654,6826,Hoodoo Ann,6.9,587,1916
655,6745,Gretchen the Greenhorn,6.9,348,1916
656,21814,Dracula,7.7,13738,1931
657,27884,Libeled Lady,7.9,2729,1936
658,9369,Mickey,7.4,574,1918
659,61852,The Jungle Book,7.6,27445,1967
660,54215,Psycho,8.7,146286,1960
661,88263,Thriller,8.2,5297,0
662,41859,The Set-Up,7.8,3125,1949
663,50825,Paths of Glory,8.6,45597,1957
664,36868,The Best Years of Our Lives,8.3,17619,1946
665,53291,Some Like It Hot,8.4,68495,1959
666,35211,The Pride of the Yankees,7.7,4491,1942
667,23563,The Testament of Dr. Mabuse,7.9,4169,1933
668,40636,The Naked City,7.7,3273,1948
669,32551,The Grapes of Wrath,8.3,23756,1940
670,49406,The Killing,8.2,25225,1956
671,40369,Fort Apache,7.6,5773,1948
672,45152,Singin' in the Rain,8.4,56270,1952
673,29843,The Adventures of Robin Hood,8.1,24112,1938
674,16104,The Merry Widow,8.0,1029,1925
675,33729,How Green Was My Valley,7.9,7493,1941
676,32701,The Letter,7.8,3911,1940
677,9241,Johanna Enlists,7.0,453,1918
678,33804,The Lady Eve,8.1,7346,1941
679,808506,The Girl Who Leapt Through Time,7.9,6598,2006
680,38355,The Big Sleep,8.3,29484,1946
681,47522,A Star Is Born,7.8,5489,1954
682,27532,Dodsworth,8.3,3381,1936
683,53946,Inherit the Wind,8.1,11134,1960
684,31455,The Hunchback of Notre Dame,7.9,4464,1939
685,37884,The Lost Weekend,8.1,11940,1945
686,27652,Fury,7.9,4057,1936
687,19130,The Man Who Laughs,7.9,1390,1928
688,21884,Frankenstein,8.0,23470,1931
689,35575,Yankee Doodle Dandy,7.7,6120,1942
690,16641,Ben-Hur: A Tale of the Christ,8.1,3355,1925
691,4181,Judith of Bethulia,7.6,608,1914
692,8196,The Little Princess,6.9,398,1917
693,40160,The Big Clock,7.7,2362,1948
694,46303,Shane,7.7,14049,1953
695,8775,Wild and Woolly,6.8,294,1917
696,35446,To Be or Not to Be,8.1,9159,1942
697,51201,Witness for the Prosecution,8.4,18493,1957
698,36342,Shadow of a Doubt,8.1,21892,1943
699,20298,Queen Kelly,8.0,1309,1929
700,29870,Angels with Dirty Faces,7.9,8474,1938
701,43132,Where the Sidewalk Ends,7.7,2035,1950
702,4972,The Birth of a Nation,7.1,9030,1915
703,43456,The Day the Earth Stood Still,8.0,34743,1951
704,24216,King Kong,8.0,39778,1933
705,34167,Sergeant York,7.9,6379,1941
706,49366,Invasion of the Body Snatchers,8.0,14807,1956
707,38559,Gilda,7.7,8981,1946
708,35432,This Gun for Hire,7.7,2423,1942
709,18528,The Unknown,7.9,2600,1927
710,94625,Akira,7.8,40345,1988
711,53125,North by Northwest,8.6,94708,1959
712,31971,Stagecoach,7.9,14820,1939
713,34240,Sullivan's Travels,8.2,9056,1941
714,38787,Notorious,8.3,32011,1946
715,20629,All Quiet on the Western Front,8.1,21876,1930
716,26752,Mutiny on the Bounty,7.9,7675,1935
717,42192,All About Eve,8.4,35499,1950
718,32599,His Girl Friday,8.1,20758,1940
719,48028,East of Eden,8.1,12861,1955
720,28691,Captains Courageous,7.9,3535,1937
721,34778,Gentleman Jim,7.7,1256,1942
722,39689,Out of the Past,8.1,10884,1947
723,31647,Midnight,7.9,1884,1939
724,3643,The Avenging Conscience: or 'Thou Shalt Not Kill',6.9,527,1914
725,32976,Rebecca,8.4,36009,1940
726,31725,Ninotchka,7.9,6935,1939
727,40919,Unfaithfully Yours,7.7,1874,1948
728,58331,Mary Poppins,7.7,34625,1964
729,37469,The Woman in the Window,7.8,3350,1944
730,35567,Woman of the Year,7.4,3516,1942
731,33253,The Westerner,7.6,1481,1940
732,38190,A Tree Grows in Brooklyn,7.9,2895,1945
733,32455,Fantasia,7.8,30171,1940
734,31088,Beau Geste,7.9,2222,1939
735,30993,You Can't Take It with You,8.0,8673,1938
736,31679,Mr. Smith Goes to Washington,8.3,33857,1939
737,31381,Gone with the Wind,8.2,80310,1939
738,14341,Our Hospitality,8.0,3217,1923
739,41716,On the Town,7.7,5941,1949
740,23427,Scarface,7.9,9433,1932
741,28772,A Day at the Races,7.6,6179,1937
742,37101,Murder_ My Sweet,7.7,3924,1944
743,39431,Good News,7.7,1332,1947
744,22835,Dr. Jekyll and Mr. Hyde,7.7,3934,1931
745,37865,Leave Her to Heaven,7.7,3153,1945
746,56218,The Manchurian Candidate,8.2,35187,1962
747,42546,Harvey,8.1,23633,1950
748,41239,Champion,7.5,1185,1949
749,29947,Bringing Up Baby,8.1,23324,1938
750,40536,Letter from an Unknown Woman,8.0,3303,1948
751,27996,Mr. Deeds Goes to Town,8.0,7574,1936
752,28010,My Man Godfrey,8.1,8123,1936
753,12190,The Four Horsemen of the Apocalypse,8.1,1366,1921
754,38650,It's a Wonderful Life,8.7,102950,1946
755,36775,Double Indemnity,8.6,37746,1944
756,61809,In Cold Blood,8.1,10599,1967
757,73195,Jaws,8.3,140401,1975
758,12938,Beyond the Rocks,7.8,1166,1922
759,32553,The Great Dictator,8.4,37886,1940
760,44079,Strangers on a Train,8.3,35047,1951
761,43137,Winchester '73,7.8,5391,1950
762,32138,The Wizard of Oz,8.3,104445,1939
763,26778,A Night at the Opera,8.0,14364,1935
764,23042,I Am a Fugitive from a Chain Gang,8.1,5017,1932
765,39661,Nightmare Alley,7.7,2644,1947
766,25878,The Thin Man,8.0,11914,1934
767,47396,Rear Window,8.7,120663,1954
768,18455,Sunrise: A Song of Two Humans,8.4,11584,1927
769,42530,Deadly Is the Female,7.8,3239,1950
770,22100,M,8.6,40691,1931
771,33045,The Shop Around the Corner,8.0,8608,1940
772,9976,The Busher,6.9,468,1919
773,12349,The Kid,8.3,14646,1921
774,13086,Dr. Mabuse: The Gambler,7.8,2116,1922
775,50086,3:10 to Yuma,7.7,5393,1957
776,60345,How the Grinch Stole Christmas!,8.4,17967,0
777,39204,Body and Soul,7.9,1689,1947
778,40746,Rope,8.1,32169,1948
779,44954,The Narrow Margin,7.8,2286,1952
780,32143,The Women,7.9,5555,1939
781,46912,Dial M for Murder,8.1,30695,1954
782,44837,Limelight,7.9,5753,1952
783,56687,What Ever Happened to Baby Jane?,8.0,12652,1962
784,27125,Top Hat,7.8,6094,1935
785,42041,White Heat,8.2,10344,1949
786,19258,The Patsy,8.2,1064,1928
787,36613,Arsenic and Old Lace,8.1,30362,1944
788,8827,Amarilly of Clothes-Line Alley,6.8,498,1918
789,46187,Pickup on South Street,7.9,4108,1953
790,33836,The Little Foxes,8.1,3938,1941
791,31225,Destry Rides Again,7.8,4217,1939
792,16220,The Phantom of the Opera,7.7,5769,1925
793,39628,Miracle on 34th Street,7.9,12844,1947
794,31448,The Hound of the Baskervilles,7.7,3803,1939
795,32904,The Philadelphia Story,8.1,28044,1940
796,40458,I Remember Mama,8.1,2307,1948
797,18773,The Circus,7.9,5907,1928
798,24481,Queen Christina,7.9,3133,1933
799,43338,The Big Carnival,8.2,7661,1951
800,4707,Tillie's Punctured Romance,7.1,1540,1914
801,37913,Mildred Pierce,7.9,7402,1945
802,27977,Modern Times,8.5,36574,1936
803,10418,Male and Female,7.8,887,1919
804,11541,One Week,8.1,1745,1920
805,21749,City Lights,8.6,28199,1931
